Date,Open,High,Low,Close,Volume,Adj Close
2010-12-27,0.37,0.37,0.37,0.37,000,0.37
2010-12-24,0.37,0.38,0.37,0.37,1631200,0.37
2010-12-23,0.37,0.38,0.37,0.38,1174400,0.38
2010-12-22,0.37,0.39,0.37,0.38,2890000,0.38
2010-12-21,0.37,0.38,0.37,0.37,1688400,0.37
2010-12-20,0.37,0.38,0.37,0.37,2856000,0.37
2010-12-17,0.38,0.38,0.37,0.37,1653200,0.37
2010-12-16,0.38,0.38,0.36,0.38,3346600,0.38
2010-12-15,0.38,0.39,0.38,0.38,1615200,0.38
2010-12-14,0.39,0.39,0.37,0.38,3977000,0.38
2010-12-13,0.38,0.39,0.38,0.39,2028000,0.39
2010-12-10,0.37,0.38,0.37,0.38,2442000,0.38
2010-12-09,0.38,0.38,0.37,0.38,3750200,0.38
2010-12-08,0.38,0.39,0.38,0.38,3146000,0.38
2010-12-07,0.38,0.38,0.37,0.38,5014000,0.38
2010-12-06,0.40,0.40,0.37,0.37,6966000,0.37
2010-12-03,0.40,0.40,0.37,0.38,6820000,0.38
2010-12-02,0.40,0.40,0.39,0.40,13494200,0.40
2010-12-01,0.42,0.42,0.39,0.39,5630000,0.39
2010-11-30,0.41,0.42,0.40,0.41,2029600,0.41
2010-11-29,0.42,0.43,0.39,0.41,9474000,0.41
2010-11-26,0.45,0.46,0.42,0.42,11870000,0.42
2010-11-25,0.47,0.48,0.44,0.46,16951000,0.46
2010-11-24,0.44,0.47,0.42,0.46,31619400,0.46
2010-11-23,0.43,0.43,0.43,0.43,000,0.43
2010-11-22,0.43,0.43,0.43,0.43,000,0.43
2010-11-19,0.43,0.43,0.43,0.43,000,0.43
2010-11-18,0.43,0.43,0.43,0.43,000,0.43
2010-11-17,0.43,0.43,0.43,0.43,000,0.43
2010-11-16,0.40,0.48,0.40,0.43,58640000,0.43
2010-11-15,0.40,0.40,0.38,0.39,4663200,0.39
2010-11-12,0.40,0.40,0.38,0.38,8520400,0.38
2010-11-11,0.40,0.40,0.39,0.40,1884000,0.40
2010-11-10,0.40,0.40,0.39,0.39,8921200,0.39
2010-11-09,0.39,0.40,0.39,0.40,4424000,0.40
2010-11-08,0.40,0.40,0.39,0.39,2332000,0.39
2010-11-05,0.40,0.40,0.39,0.40,3576200,0.40
2010-11-04,0.39,0.40,0.39,0.40,2521000,0.40
2010-11-03,0.40,0.41,0.39,0.39,9214000,0.39
2010-11-02,0.40,0.41,0.39,0.40,13064400,0.40
2010-11-01,0.40,0.42,0.39,0.40,12959000,0.40
2010-10-29,0.40,0.40,0.39,0.40,9536000,0.40
2010-10-28,0.40,0.41,0.39,0.40,9792000,0.40
2010-10-27,0.40,0.42,0.39,0.39,10776000,0.39
2010-10-26,0.40,0.41,0.39,0.39,8420000,0.39
2010-10-25,0.39,0.40,0.39,0.40,8442100,0.40
2010-10-22,0.40,0.40,0.38,0.39,11509000,0.39
2010-10-21,0.41,0.42,0.39,0.40,23999000,0.40
2010-10-20,0.40,0.43,0.40,0.40,28705600,0.40
2010-10-19,0.44,0.44,0.40,0.40,16695000,0.40
2010-10-18,0.45,0.46,0.41,0.43,31476800,0.43
2010-10-15,0.45,0.47,0.44,0.44,10728900,0.44
2010-10-14,0.45,0.46,0.44,0.44,17968200,0.44
2010-10-13,0.44,0.45,0.43,0.44,4301200,0.44
2010-10-12,0.43,0.45,0.43,0.44,5881200,0.44
2010-10-11,0.48,0.49,0.41,0.44,21808000,0.44
2010-10-08,0.46,0.48,0.46,0.48,6010800,0.48
2010-10-07,0.47,0.48,0.46,0.46,1710000,0.46
2010-10-06,0.48,0.49,0.46,0.46,5106100,0.46
2010-10-05,0.51,0.51,0.46,0.47,9142200,0.47
2010-10-04,0.40,0.56,0.39,0.50,52544800,0.50
2010-10-01,0.41,0.41,0.41,0.41,000,0.41
2010-09-30,0.43,0.43,0.36,0.41,22326800,0.41
2010-09-29,0.47,0.49,0.45,0.46,12489800,0.46
2010-09-28,0.45,0.48,0.44,0.47,12299000,0.47
2010-09-27,0.56,0.57,0.47,0.48,8496000,0.48
2010-09-24,0.56,0.60,0.56,0.56,4429400,0.56
2010-09-23,0.56,0.56,0.56,0.56,000,0.56
2010-09-22,0.56,0.57,0.55,0.56,1509000,0.56
2010-09-21,0.55,0.55,0.54,0.55,2842000,0.55
2010-09-20,0.52,0.56,0.52,0.55,3437000,0.55
2010-09-17,0.53,0.54,0.52,0.52,1175600,0.52
2010-09-16,0.50,0.57,0.50,0.54,4401800,0.54
2010-09-15,0.48,0.50,0.48,0.49,1399800,0.49
2010-09-14,0.46,0.50,0.46,0.48,1860000,0.48
2010-09-13,0.50,0.50,0.45,0.46,2218200,0.46
2010-09-10,0.51,0.51,0.50,0.50,5982400,0.50
2010-09-09,0.50,0.52,0.50,0.51,6166000,0.51
2010-09-08,0.52,0.54,0.50,0.50,4905000,0.50
2010-09-07,0.50,0.51,0.49,0.49,8181200,0.49
2010-09-06,0.50,0.51,0.48,0.49,1852400,0.49
